"grp","common","est","year","metacomm","longitude","latitude"
"21","gizzard shad",0.488424942116401,2009,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",0.724271469164354,2009,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",0.431033845627941,2009,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",0.832429710633069,2009,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",1.34556545772688,2009,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",0.647020316082836,2009,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",0.928863942582737,2009,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",1.68550409304392,2009,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",0.521274114168527,2009,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",0.726078128903105,2009,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",1.14805974966387,2009,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",1.36209220741222,2010,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",5.96155735409614,2010,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",1.44893425335347,2010,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",1.47252624470323,2010,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",42.6324781087215,2010,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",2.69878985278189,2010,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",0.858658309554925,2010,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",2.39891510582205,2010,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",1.23279095778332,2010,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",0.950498171812244,2010,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",0.807703170006466,2010,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",2.18667493387417,2010,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",1.38454636540166,2010,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",1.27504858472564,2010,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",3.83394445167678,2010,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",3.18152754752533,2010,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",1.36343082583364,2010,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",1.41466107920097,2010,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",3.74282054981154,2010,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",1.26177793306593,2010,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",2.3093855952609,2010,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",7.06852027638872,2010,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",3.04875071583581,2010,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",3.0948058105135,2010,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",8.62061796019955,2010,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",1.82808423377985,2010,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",3.25562466215204,2010,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",3.64985209572594,2010,"VA",407.602632782714,4191.66687811942
"4","gizzard shad",2.20010963555628,2011,"VA",397.602632782714,4105.06433774098
"5","gizzard shad",10.2295114851726,2011,"VA",407.602632782714,4105.06433774098
"6","gizzard shad",2.06384267217806,2011,"VA",392.602632782714,4113.72459177882
"7","gizzard shad",1.58121777329482,2011,"VA",402.602632782714,4113.72459177882
"8","gizzard shad",127.952570536927,2011,"VA",377.602632782714,4122.38484581667
"9","gizzard shad",3.14772407429561,2011,"VA",387.602632782714,4122.38484581667
"10","gizzard shad",1.29207445954231,2011,"VA",397.602632782714,4122.38484581667
"11","gizzard shad",3.15644333767056,2011,"VA",407.602632782714,4122.38484581667
"12","gizzard shad",1.69751073947842,2011,"VA",392.602632782714,4131.04509985451
"13","gizzard shad",0.897766493431268,2011,"VA",402.602632782714,4131.04509985451
"14","gizzard shad",0.892185241594828,2011,"VA",397.602632782714,4139.70535389236
"15","gizzard shad",2.01985222968936,2011,"VA",407.602632782714,4139.70535389236
"16","gizzard shad",1.88308090240365,2011,"VA",392.602632782714,4148.3656079302
"17","gizzard shad",1.12536857441769,2011,"VA",402.602632782714,4148.3656079302
"18","gizzard shad",4.6665597426525,2011,"VA",412.602632782714,4148.3656079302
"19","gizzard shad",3.09174276560488,2011,"VA",387.602632782714,4157.02586196804
"20","gizzard shad",1.24595851953472,2011,"VA",397.602632782714,4157.02586196804
"21","gizzard shad",1.82103125558917,2011,"VA",407.602632782714,4157.02586196804
"22","gizzard shad",2.67798135009553,2011,"VA",392.602632782714,4165.68611600589
"23","gizzard shad",1.45289448637814,2011,"VA",402.602632782714,4165.68611600589
"24","gizzard shad",3.29831453199003,2011,"VA",412.602632782714,4165.68611600589
"25","gizzard shad",5.34187917722112,2011,"VA",387.602632782714,4174.34637004373
"26","gizzard shad",2.21400732405016,2011,"VA",397.602632782714,4174.34637004373
"27","gizzard shad",3.87584052444205,2011,"VA",407.602632782714,4174.34637004373
"28","gizzard shad",6.6973062265866,2011,"VA",392.602632782714,4183.00662408158
"29","gizzard shad",1.89307812204793,2011,"VA",402.602632782714,4183.00662408158
"30","gizzard shad",2.61350645330836,2011,"VA",397.602632782714,4191.66687811942
"31","gizzard shad",4.49915120758038,2011,"VA",407.602632782714,4191.66687811942
